ID,Domain,Difficulty_Level,Question,Reference_Answer
1437,Core CS & OS,Medium,Could you explain this: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1438,Core CS & OS,Medium,Define and explain: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1439,AI/ML,Medium,How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1440,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1441,Core CS & OS,Easy,Could you explain this: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
1442,AI/ML,Medium,Define and explain: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1443,Data Structures & Algorithms,Medium,Interview Question: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
1444,Core CS & OS,Medium,Interview Question: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
1445,AI/ML,Medium,Candidate prompt: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
1446,Data Structures & Algorithms,Medium,What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1447,AI/ML,Hard,Candidate prompt: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
1448,Core CS & OS,Hard,"Candidate prompt: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
1449,Data Structures & Algorithms,Medium,Interview Question: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
1450,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
1451,Data Structures & Algorithms,Easy,"Could you explain this: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
